edname,small_area,vector
Baldoyle,267004005,0.015252470917630797
Tallaght-Kilnamanagh,267142010,0.015250240369339802
Tallaght-Avonbeg,267136002,0.015231619862940688
Tallaght-Kingswood,267144011,0.01521570670528763
Tallaght-Kilnamanagh,267142006,0.015201159782743993
Grange D,268074010,0.015176863754142778
Tallaght-Millbrook,267145001,0.015172316056579236
Tallaght-Kilnamanagh,267142013,0.015166883260278067
Ayrfield,268008011,0.015166369950911512
Baldoyle,267004004,0.015166079237765782
Tallaght-Tymon,267148008,0.015160303810489226
Tallaght-Millbrook,267145012,0.01514412617812453
Tallaght-Kingswood,267144012,0.015142002443024171
Beaumont F,268026010,0.015139526904772837
Grange C,268073004,0.01512421581178201
Templeogue-Limekiln,267151013,0.015114647730533594
Tallaght-Kilnamanagh,267142008,0.01510351324769054
Grange A,268071008,0.015094365704189917
Grange B,268072015,0.015093530921873762
Ayrfield,268008003,0.015089943947513501
Grange A,268071007,0.015087096468096806
Beaumont B,268022003,0.015085802164963349
Templeogue-Limekiln,267151006,0.015084808924220117
Swords-Forrest,267132045,0.015073796342860985
Tallaght-Kilnamanagh,267142001,0.015060510448778392
Tallaght-Avonbeg,267136006,0.015050996354548025
Ayrfield,268008010,0.01505080681779352
Ballygall A,268012011,0.015050126363315944
Portmarnock South,267111001,0.015041186503842643
Rush,267118020,0.015040827944483534
Blanchardstown-Corduff,267030004,0.015034262280468376
Lucan-St. Helen's,267103010,0.015032904074297018
Clondalkin-Dunawley,267049013,0.015032562662346953
Clondalkin-Monastery,267050011,0.015028689434168218
Tallaght-Kilnamanagh,267142011,0.015026680529104879
Balbriggan Urban,267003015,0.015016367010541033
Ballygall A,268012004,0.015011721171987218
Beaumont E,268025003,0.015008697669499
Ayrfield,268008012,0.01500596700034487
Beaumont B,268022004,0.015005815169503242
Lucan-St. Helen's,267103025,0.0149924937988827
Tallaght-Kingswood,267144014,0.014988385789134388
Tallaght-Kiltipper,267143022,0.014988326147853212
Churchtown-Nutgrove,267044007,0.014988141206260845
Tallaght-Kingswood,267144013,0.014984836034876294
Baldoyle,267004003,0.014978034659309625
Kilmore D,268087008,0.014958922867905238
Templeogue-Limekiln,267151012,0.014957546232636927
Tallaght-Kingswood,267144005,0.014957019656262525
Tallaght-Millbrook,267145002,0.014955391980198633
Tallaght-Oldbawn,267146008,0.01494385426499125
Tallaght-Tymon,267148010,0.014942484305225464
Grange B,268072001,0.014935345596296033
Grace Park,268070005,0.014921777988855888
Rathcoole,267112003,0.014914628117604032
Templeogue-Limekiln,267151002,0.01491337587371619
Clondalkin-Dunawley,267049016,0.014905974297186942
Clondalkin-Monastery,267050012,0.01490235703057817
Finglas North A,268063001,0.014895815857888526
Grange A,268071013,0.014893453954538118
Cabinteely-Kilbogget,267037008,0.014892807935512382
Terenure-St. James,267157007,0.01489175972553012
Beaumont D,268024006,0.014888302999230286
Harmonstown A,268076002,0.014887504537050717
