ogc_fid,fid,ogc_fid1,ogc_fid0,edname,small_area
1,1,3.0,12700.0,Priorswood E,268123009
2,4,444.0,441.0,Ballinascorney,267006001
4,6,445.0,442.0,Bohernabreena,267035001
6,8,446.0,443.0,Newcastle,267107002
8,12,448.0,445.0,Glencullen,267092001
10,18,453.0,450.0,The Ward,267158009/02
12,20,454.0,451.0,Dubber,267066001
13,21,1393.0,1390.0,Balbriggan Rural,267002034
15,27,1586.0,1583.0,Garristown,267091003
17,29,1653.0,1650.0,Garristown,267091002
18,30,1654.0,1651.0,Garristown,267091004
20,34,1656.0,1653.0,Hollywood,267093002
22,36,1657.0,1654.0,Swords-Lissenhall,267133001
23,37,1658.0,1655.0,Donabate,267065001
25,39,1659.0,1656.0,Swords-Lissenhall,267133031
26,40,1660.0,1657.0,Ballyboghil,267014003
27,41,1661.0,1658.0,Ballyboghil,267014001
28,42,1662.0,1659.0,Lusk,267104001
29,43,1663.0,1660.0,Lusk,267104002
31,45,1805.0,1802.0,Lucan North,267102001
33,47,1806.0,1803.0,Lucan Heights,267101018
34,52,1838.0,1835.0,Kilsallaghan,267098002
36,54,1839.0,1836.0,Clonmethan,267054002
37,55,1840.0,1837.0,Clonmethan,267054001
39,57,1841.0,1838.0,Ballyboghil,267014002
40,62,1884.0,1881.0,Blanchardstown-Tyrrelstown,267034001/01
42,64,1885.0,1882.0,Phoenix Park,268118001
43,65,2264.0,2261.0,Garristown,267091001
45,67,2266.0,2263.0,Hollywood,267093001
46,68,2267.0,2264.0,Holmpatrick,267094001/267094002/267094005
47,71,2278.0,2275.0,Balscadden,267016001
49,73,2279.0,2276.0,Balscadden,267016002
51,75,2280.0,2277.0,Donabate,267065027/267065031
53,81,4148.0,4145.0,Blanchardstown-Abbotstown,267027016/02
54,82,4149.0,4146.0,Blanchardstown-Abbotstown,267027002
55,83,4151.0,4148.0,The Ward,267158012
56,84,4152.0,4149.0,The Ward,267158001
58,86,4153.0,4150.0,Dubber,267066016
59,87,4154.0,4151.0,Kilsallaghan,267098001
61,89,4155.0,4152.0,Kilsallaghan,267098005
62,90,4156.0,4153.0,North Dock B,268108026/268108027
64,92,4157.0,4154.0,Raheny-St. Assam,268126006
66,94,4158.0,4155.0,Airport,267001009/02
67,95,4159.0,4156.0,Balgriffin,267005001
68,96,4346.0,4343.0,Tibradden,267159001
70,98,4347.0,4344.0,Glencullen,267092003
71,99,4348.0,4345.0,Glencullen,267092002
72,100,4349.0,4346.0,Glencullen,267092022
73,101,4350.0,4347.0,Shankill-Rathmichael,267120001
