edname,small_area,vector
Lucan-Esker,267100021,0.03564153789199898
Blanchardstown-Blakestown,267028053,0.03559253955286717
Blanchardstown-Blakestown,267028051,0.03540742255004782
Blanchardstown-Blakestown,267028052,0.0354039809238023
Blanchardstown-Blakestown,267028034,0.035266484948552994
Blanchardstown-Blakestown,267028033,0.035234024697538315
Lucan-Esker,267100022,0.035228836817230436
Lucan-Esker,267100028,0.03515822542421574
Blanchardstown-Blakestown,267028046,0.03512488883322382
Blanchardstown-Blakestown,267028098,0.03510947596929217
Lucan-Esker,267100046,0.03508578691323232
Blanchardstown-Blakestown,267028032,0.03507958987728034
Blanchardstown-Blakestown,267028065,0.035059851920744706
Blanchardstown-Blakestown,267028062,0.035034865372712
Blanchardstown-Blakestown,267028036,0.03500962049692316
Blanchardstown-Blakestown,267028064,0.034992941903417125
Lucan-Esker,267100018,0.034989198586378945
Lucan-Esker,267100045,0.03496059917811637
Lucan-Esker,267100048,0.0349384920764197
Blanchardstown-Blakestown,267028085,0.034930164210956134
Lucan-Esker,267100029,0.03492035301184506
Blanchardstown-Coolmine,267029003,0.03491659251115671
Lucan-Esker,267100047,0.03490831343364536
Lucan-Esker,267100007,0.03488913807482862
Blanchardstown-Coolmine,267029014,0.03486840533544958
Lucan-Esker,267100020,0.034862591432831845
Blanchardstown-Blakestown,267028063,0.03485547706561569
Firhouse Village,267084004,0.034852409336445206
Blanchardstown-Blakestown,267028067,0.03483477361667969
Lucan-Esker,267100051,0.03481980541031207
Lucan-Esker,267100033,0.03478553775783023
Lucan-Esker,267100078,0.034735919082019825
Lucan-Esker,267100008,0.034730657210809694
Blanchardstown-Blakestown,267028038,0.0347291311502871
Blanchardstown-Blakestown,267028035,0.03472495575129432
Blanchardstown-Blakestown,267028084,0.034724854828653506
Blanchardstown-Blakestown,267028047,0.03471450426911461
Lucan-Esker,267100030,0.03471314768439403
Lucan-Esker,267100054,0.03465223298760943
Blanchardstown-Blakestown,267028049,0.034626992793012436
Lucan-Esker,267100016,0.03461100646799827
Tallaght-Jobstown,267140020,0.034590943202978106
