edname,small_area,iso
Priorswood E,268123009,30.28144454
Ballinascorney,267006001,29.92316052
Bohernabreena,267035001,29.71425131
Newcastle,267107002,29.70925035
Glencullen,267092001,29.67530828
The Ward,267158009/02,29.58531031
Dubber,267066001,29.21542313
Balbriggan Rural,267002034,29.19939452
Garristown,267091003,29.14105488
Garristown,267091002,29.11043907
Garristown,267091004,28.99369976
Hollywood,267093002,28.91163795
Swords-Lissenhall,267133001,28.9031583
Donabate,267065001,28.87563808
Swords-Lissenhall,267133031,28.80916459
Ballyboghil,267014003,28.76737633
Ballyboghil,267014001,28.71290974
Lusk,267104001,28.55029122
Lusk,267104002,28.47782199
Lucan North,267102001,28.34988367
Lucan Heights,267101018,28.28471413
Kilsallaghan,267098002,28.28154755
Clonmethan,267054002,28.15357693
Clonmethan,267054001,28.14958241
Ballyboghil,267014002,28.13178606
Blanchardstown-Tyrrelstown,267034001/01,28.12404348
Phoenix Park,268118001,28.10054307
Garristown,267091001,28.02274333
Hollywood,267093001,28.01884972
Holmpatrick,267094001/267094002/267094005,27.99710035
Balscadden,267016001,27.98264341
Balscadden,267016002,27.95884383
Donabate,267065027/267065031,27.95008819
Blanchardstown-Abbotstown,267027016/02,27.94447351
Blanchardstown-Abbotstown,267027002,27.94372932
The Ward,267158012,27.81517449
The Ward,267158001,27.8018335
Dubber,267066016,27.62878415
Kilsallaghan,267098001,27.62792328
Kilsallaghan,267098005,27.49926891
North Dock B,268108026/268108027,27.44553435
Raheny-St. Assam,268126006,27.43800205
Airport,267001009/02,27.41632148
Balgriffin,267005001,27.40975358
Tibradden,267159001,27.39605496
Glencullen,267092003,27.38340112
Glencullen,267092002,27.36564331
Glencullen,267092022,27.2683843
Shankill-Rathmichael,267120001,27.26213266
Cabinteely-Loughlinstown,267038003,27.25968897
Pembroke East A,268110015,27.07326829
Lucan-St. Helen's,267103001/01,27.06557183
Phoenix Park,268118002,27.03033154
Glencullen,267092055/01,27.02962006
Shankill-Rathmichael,267120004,27.02070257
Shankill-Rathmichael,267120002,26.99307704
Shankill-Rathmichael,267120008,26.93072691
Shankill-Shanganagh,267122003,26.89979782
Ushers A,268148004/01,26.83244532
Castleknock-Park,267041015,26.82297352
Blanchardstown-Mulhuddart,267032011,26.80995244
Blanchardstown-Tyrrelstown,267034001/04,26.75912019
