edname,small_area,vector
Baldoyle,267004005,0.015252470917630706
Tallaght-Kilnamanagh,267142010,0.015250240369339847
Tallaght-Avonbeg,267136002,0.015231619862940473
Tallaght-Kingswood,267144011,0.015215706705287567
Tallaght-Kilnamanagh,267142006,0.015201159782744106
Grange D,268074010,0.015176863754142497
Tallaght-Millbrook,267145001,0.015172316056579087
Tallaght-Kilnamanagh,267142013,0.015166883260278059
Ayrfield,268008011,0.015166369950911552
Baldoyle,267004004,0.015166079237765554
Tallaght-Tymon,267148008,0.01516030381048916
Tallaght-Millbrook,267145012,0.015144126178124388
Tallaght-Kingswood,267144012,0.015142002443024218
Beaumont F,268026010,0.015139526904772877
Grange C,268073004,0.015124215811781923
Templeogue-Limekiln,267151013,0.015114647730533634
Tallaght-Kilnamanagh,267142008,0.015103513247690662
Grange A,268071008,0.015094365704189963
Grange B,268072015,0.015093530921873754
Ayrfield,268008003,0.015089943947513597
Grange A,268071007,0.015087096468096773
Beaumont B,268022003,0.015085802164963334
Templeogue-Limekiln,267151006,0.015084808924219742
Swords-Forrest,267132045,0.015073796342861115
Tallaght-Kilnamanagh,267142001,0.015060510448778442
Tallaght-Avonbeg,267136006,0.015050996354547635
Ayrfield,268008010,0.015050806817793513
Ballygall A,268012011,0.01505012636331593
Portmarnock South,267111001,0.015041186503842143
Rush,267118020,0.015040827944483396
Blanchardstown-Corduff,267030004,0.015034262280468422
Lucan-St. Helen's,267103010,0.015032904074296992
Clondalkin-Dunawley,267049013,0.015032562662347017
Clondalkin-Monastery,267050011,0.015028689434168338
Tallaght-Kilnamanagh,267142011,0.015026680529104882
Balbriggan Urban,267003015,0.015016367010541255
Ballygall A,268012004,0.015011721171987298
Beaumont E,268025003,0.015008697669499096
Ayrfield,268008012,0.015005967000344851
Beaumont B,268022004,0.015005815169503329
Lucan-St. Helen's,267103025,0.014992493798882891
Tallaght-Kingswood,267144014,0.014988385789134471
Tallaght-Kiltipper,267143022,0.014988326147853332
Churchtown-Nutgrove,267044007,0.014988141206260557
Tallaght-Kingswood,267144013,0.01498483603487638
Baldoyle,267004003,0.014978034659309575
Kilmore D,268087008,0.014958922867905386
Templeogue-Limekiln,267151012,0.014957546232637106
Tallaght-Kingswood,267144005,0.014957019656262643
Tallaght-Millbrook,267145002,0.014955391980198771
Tallaght-Oldbawn,267146008,0.014943854264991297
Tallaght-Tymon,267148010,0.014942484305225516
Grange B,268072001,0.014935345596296092
Grace Park,268070005,0.014921777988856222
Rathcoole,267112003,0.014914628117603855
Templeogue-Limekiln,267151002,0.014913375873716526
Clondalkin-Dunawley,267049016,0.014905974297186951
Clondalkin-Monastery,267050012,0.01490235703057833
Finglas North A,268063001,0.014895815857888592
Grange A,268071013,0.014893453954538246
Cabinteely-Kilbogget,267037008,0.014892807935511957
Terenure-St. James,267157007,0.014891759725530772
Beaumont D,268024006,0.014888302999230458
Harmonstown A,268076002,0.014887504537050754
Clondalkin-Dunawley,267049014,0.014882406510739776
Ballinteer-Broadford,267008006,0.014879701126623004
Grace Park,268070004,0.014879273315186724
Whitehall B,268158008,0.014877034312480539
Beaumont A,268021012,0.014874771712163044
Terenure-St. James,267157004,0.01486832940561016
Tallaght-Oldbawn,267146002,0.01486504206547731
Grange C,268073008,0.014858790912236587
Grange C,268073002,0.014851893603790254
Lucan-St. Helen's,267103026,0.014850166623521939
Grace Park,268070007,0.014849155510075224
Lucan-St. Helen's,267103023,0.014842568393064321
Templeogue-Limekiln,267151005,0.014840377880382657
Sutton,267130002,0.01483674585212254
Palmerston Village,267108002,0.014834941871551393
Tallaght-Glenview,267139006,0.014823934317146108
Grange A,268071009,0.014821145448927603
Palmerston West,267109014,0.014819821028905429
Grange C,268073007,0.014819021540748817
Terenure-St. James,267157003,0.014814951983991817
Grace Park,268070006,0.014809116510898496
Tallaght-Millbrook,267145008,0.014795700310475064
Finglas South B,268067004,0.014786880532792488
Ballinteer-Broadford,267008004,0.014780164512235724
Tallaght-Kilnamanagh,267142007,0.014779490655622275
Swords-Forrest,267132004,0.014779189757276172
Beaumont D,268024007,0.014769282525698691
Beaumont E,268025005,0.014757225651965652
Palmerston Village,267108015,0.014752715008449949
Ayrfield,268008002,0.014752344684945871
Cabinteely-Kilbogget,267037006,0.014750492695680116
Howth,267095013,0.014745251167561433
Firhouse Village,267084038,0.01472938468089414
Templeogue-Osprey,267153005,0.01472730708077403
Tallaght-Glenview,267139005,0.01471712233908755
Tallaght-Kilnamanagh,267142012,0.014715507268850068
Lucan-St. Helen's,267103024,0.014710114806885846
Templeogue-Osprey,267153003,0.01470140304752379
Ballinteer-Broadford,267008003,0.014699770739891838
Sutton,267130004,0.014694141664793537
Ayrfield,268008008,0.014690450736236295
Tallaght-Millbrook,267145010,0.014686806927322903
Terenure-St. James,267157002,0.014686024823333997
Ballinteer-Broadford,267008002,0.014685188503009445
Harmonstown A,268076007,0.014684845415615459
Priorswood E,268123003,0.014679168592678406
Grange D,268074007,0.014669278225371032
Tallaght-Oldbawn,267146010,0.014668509530096399
Templeogue-Limekiln,267151003,0.014667953046222633
Grange B,268072002,0.014663527128619387
Blanchardstown-Delwood,267031014,0.014659247372834305
Ballybrack,267015006,0.014658416201431266
Donabate,267065030,0.014657078880719994
Cabra West A,268033006,0.014654502256505709
Kilmore D,268087004,0.014645522959963079
Tallaght-Tymon,267148017,0.014632718881126626
Beaumont F,268026011,0.014628804981683795
Tallaght-Kiltipper,267143011,0.014627658032220653
Firhouse Village,267084034,0.014624802369234498
Grange C,268073009,0.014624626284316536
Tallaght-Millbrook,267145009,0.014622310086040619
Templeogue-Limekiln,267151004,0.014621221538519838
Killiney South,267097010,0.014618773243673597
Whitehall A,268157008,0.014617902786261726
Clondalkin-Dunawley,267049012,0.014611764884089747
Tallaght-Tymon,267148015,0.014611566398367706
Swords-Glasmore,267131004,0.014609447765613329
Lucan-St. Helen's,267103027,0.014603646309411472
Terenure-St. James,267157008,0.014603270440015628
Terenure-St. James,267157010,0.014601111658141267
Cabinteely-Kilbogget,267037001,0.01459918529862776
Grange A,268071004,0.014595760642406936
Blanchardstown-Blakestown,267028022,0.014586716235759273
Skerries,267123022,0.014579636525798694
Grange A,268071006,0.01457518871532586
Tallaght-Belgard,267137003,0.014569663689074263
