edname,small_area,tsne
Priorswood E,268123009,15.857479
Ballinascorney,267006001,15.726749
Bohernabreena,267035001,15.704227
Newcastle,267107002,15.510464
Glencullen,267092001,15.497385
The Ward,267158009/02,15.492493
Dubber,267066001,15.490045
Balbriggan Rural,267002034,15.446586
Garristown,267091003,15.420416
Garristown,267091002,15.370367
Garristown,267091004,15.356012
Hollywood,267093002,15.306057
Swords-Lissenhall,267133001,15.279431
Donabate,267065001,15.258621
Swords-Lissenhall,267133031,15.23326
Ballyboghil,267014003,15.219235
Ballyboghil,267014001,15.207963
Lusk,267104001,15.203045
Lusk,267104002,15.184115
Lucan North,267102001,15.163411
Lucan Heights,267101018,15.142978
Kilsallaghan,267098002,15.12282
Clonmethan,267054002,15.111551
Clonmethan,267054001,15.09242
Ballyboghil,267014002,15.0882225
Blanchardstown-Tyrrelstown,267034001/01,15.077141
Phoenix Park,268118001,15.067495
Garristown,267091001,15.067356
Hollywood,267093001,15.066508
Holmpatrick,267094001/267094002/267094005,15.028218
Balscadden,267016001,14.962772
Balscadden,267016002,14.904762
Donabate,267065027/267065031,14.868016
Blanchardstown-Abbotstown,267027016/02,14.856228
Blanchardstown-Abbotstown,267027002,14.846538
The Ward,267158012,14.813239
The Ward,267158001,14.80652
Dubber,267066016,14.783957
Kilsallaghan,267098001,14.776263
Kilsallaghan,267098005,14.735908
North Dock B,268108026/268108027,14.732243
Raheny-St. Assam,268126006,14.722101
Airport,267001009/02,14.717806
Balgriffin,267005001,14.691898
Tibradden,267159001,14.6823435
Glencullen,267092003,14.660719
Glencullen,267092002,14.658374
Glencullen,267092022,14.65821
Shankill-Rathmichael,267120001,14.657307
Cabinteely-Loughlinstown,267038003,14.636348
Pembroke East A,268110015,14.610584
Lucan-St. Helen's,267103001/01,14.606374
Phoenix Park,268118002,14.576167
Glencullen,267092055/01,14.5705385
Shankill-Rathmichael,267120004,14.551485
Shankill-Rathmichael,267120002,14.537645
Shankill-Rathmichael,267120008,14.527248
Shankill-Shanganagh,267122003,14.5235
Ushers A,268148004/01,14.519096
Castleknock-Park,267041015,14.517826
Blanchardstown-Mulhuddart,267032011,14.499674
Blanchardstown-Tyrrelstown,267034001/04,14.484406
Kilsallaghan,267098003,14.484229
Kilsallaghan,267098004,14.4764385
Clontarf West D,268049004,14.449885
Clontarf East B,268042017,14.395896
Clontarf East A,268041007,14.392874
Airport,267001010/02,14.382149
Priorswood A,268121002,14.343358
Balgriffin,267005005,14.289505
Ballinascorney,267006002,14.287817
Firhouse-Ballycullen,267085011,14.280296
Edmondstown,267083001,14.2561
Rathcoole,267112008/02,14.254401
Newcastle,267107003,14.238785
Portmarnock South,267111005,14.231998
Kilsallaghan,267098006,14.223471
Clonmethan,267054003,14.2036495
Hollywood,267093004,14.201214
Lusk,267104019,14.179461
Donabate,267065029,14.177462
Rush,267118005,14.170942
Holmpatrick,267094008,14.149625
